,provinceName,provinceEnglishName,province_zipCode,cityName,cityEnglishName,city_zipCode,confirmed,cured,dead,updateTime,updateDate,dailyNew_confirmed,dailyNew_dead,dailyNew_cured
50597,吉林省,Jilin,220000,长春,Changchun,220100.0,1,0,0,2020-01-25 11:26:40.984,2020-01-25,0.0,0.0,0.0
50509,四川省,Sichuan,510000,内江,Neijiang,511000.0,1,0,0,2020-01-25 12:49:31.823,2020-01-25,,,
50501,四川省,Sichuan,510000,广安,Guang'an,511600.0,2,0,0,2020-01-25 12:49:31.823,2020-01-25,0.0,0.0,0.0
50505,四川省,Sichuan,510000,德阳,Deyang,510600.0,1,0,0,2020-01-25 12:49:31.823,2020-01-25,0.0,0.0,0.0
50500,四川省,Sichuan,510000,成都,Chengdu,510100.0,16,0,0,2020-01-25 12:49:31.823,2020-01-25,9.0,0.0,0.0
50508,四川省,Sichuan,510000,泸州,Luzhou,510500.0,1,0,0,2020-01-25 12:49:31.823,2020-01-25,,,
50502,四川省,Sichuan,510000,绵阳,Mianyang,510700.0,2,0,0,2020-01-25 12:49:31.823,2020-01-25,0.0,0.0,0.0
50507,四川省,Sichuan,510000,自贡,Zigong,510300.0,1,0,0,2020-01-25 12:49:31.823,2020-01-25,,,
50504,四川省,Sichuan,510000,达州,Dazhou,511700.0,1,0,0,2020-01-25 12:49:31.823,2020-01-25,0.0,0.0,0.0
50503,四川省,Sichuan,510000,遂宁,Suining,510900.0,2,0,0,2020-01-25 12:49:31.823,2020-01-25,1.0,0.0,0.0
50506,四川省,Sichuan,510000,雅安,Ya'an,511800.0,1,0,0,2020-01-25 12:49:31.823,2020-01-25,0.0,0.0,0.0
50524,宁夏回族自治区,Ningxia,640000,中卫,Zhongwei,640500.0,1,0,0,2020-01-25 12:47:30.511,2020-01-25,0.0,0.0,0.0
50525,宁夏回族自治区,Ningxia,640000,固原,Guyuan,640400.0,1,0,0,2020-01-25 12:47:30.511,2020-01-25,,,
50523,宁夏回族自治区,Ningxia,640000,银川,Yinchuan,640100.0,1,0,0,2020-01-25 12:47:30.511,2020-01-25,0.0,0.0,0.0
50837,安徽省,Anhui,340000,亳州,Bozhou,341600.0,4,0,0,2020-01-25 11:01:25.954,2020-01-25,3.0,0.0,0.0
50841,安徽省,Anhui,340000,六安,Lu'an,341500.0,2,0,0,2020-01-25 11:01:25.954,2020-01-25,0.0,0.0,0.0
50835,安徽省,Anhui,340000,合肥,Hefei,340100.0,10,0,0,2020-01-25 11:01:25.954,2020-01-25,4.0,0.0,0.0
50838,安徽省,Anhui,340000,安庆,Anqing,340800.0,4,0,0,2020-01-25 11:01:25.954,2020-01-25,3.0,0.0,0.0
50843,安徽省,Anhui,340000,池州,Chizhou,341700.0,1,0,0,2020-01-25 11:01:25.954,2020-01-25,0.0,0.0,0.0
50842,安徽省,Anhui,340000,滁州,Chuzhou,341100.0,2,0,0,2020-01-25 11:01:25.954,2020-01-25,1.0,0.0,0.0
